Date	Last Price
31/01/2013	1.6294
28/02/2013	1.7519
29/03/2013	1.901
30/04/2013	2.0234
31/05/2013	1.6986
28/06/2013	1.4377
31/07/2013	1.3419
30/08/2013	1.459
30/09/2013	1.5708
31/10/2013	1.3259
29/11/2013	1.2993
31/12/2013	1.1661
31/01/2014	1.1715
28/02/2014	1.2407
31/03/2014	1.1768
30/04/2014	1.2993
30/05/2014	1.4963
30/06/2014	1.3419
31/07/2014	1.4217
29/08/2014	1.5655
30/09/2014	1.4803
31/10/2014	1.7891
28/11/2014	2.0447
31/12/2014	2.5559
30/01/2015	2.7796
27/02/2015	3.0777
31/03/2015	3.3227
30/04/2015	3.6102
29/05/2015	3.7487
30/06/2015	3.3653
31/07/2015	3.9936
31/08/2015	3.5783
30/09/2015	3.9617
30/10/2015	3.95
30/11/2015	3.64
31/12/2015	4.09
29/01/2016	3.88
29/02/2016	3.86
31/03/2016	4.07
29/04/2016	3.22
31/05/2016	3.08
30/06/2016	2.82
29/07/2016	3.16
31/08/2016	3.24
30/09/2016	3.12
31/10/2016	3.06
30/11/2016	3.3
30/12/2016	3.33
31/01/2017	3.41
28/02/2017	3.75
31/03/2017	3.89
28/04/2017	4.24
31/05/2017	5.01
30/06/2017	5.72
31/07/2017	5.32
31/08/2017	5.72
29/09/2017	5.83
31/10/2017	6.15
30/11/2017	5.67
29/12/2017	5.04